dt_implant;cd_item;ds_nacional;Agrupamento_Item;ds_item;ds_voltagem;Família_(grupos);classificacao_fiscal;cd_ean;DUN-14;Múltiplo_Pedido;peso_bruto;aliquota_ipi;tipo_exclusividade;Origem;BU;Familia_Comercial
2025-02-03;FW011424;WAP WL 6100 ULTRA;WAP WL 6100 ULTRA;WAP WL 6100 ULTRA 220V;;Lavadoras;84243010;7899831343843;;1;24.5;0;CATALOGO ABERTO;Estrangeira;SDA - COOKING & BEAUTY;lavadora - intensivo
2025-02-03;FW011423;WAP WL 6100;WAP WL 6100;WAP WL 6100 220V;;Lavadoras;84243010;7899831342846;;1;24.5;0;CATALOGO ABERTO;Estrangeira;SDA - COOKING & BEAUTY;lavadora - intensivo
2023-06-02;FW009484;WAP WL 4000 ULTRA;WAP WL 4000 ULTRA;WAP WL 4000 ULTRA 220V;220V;Lavadoras;84243010;7899831312610;;1;12;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - intensivo
2023-06-02;FW009483;WAP WL 4000 ULTRA;WAP WL 4000 ULTRA;WAP WL 4000 ULTRA 127V;127V;Lavadoras;84243010;7899831312603;;1;12;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - intensivo
2023-06-02;FW009480;WAP WL 4000;WAP WL 4000;WAP WL 4000 220V;220V;Lavadoras;84243010;7899831312597;;1;12;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - intensivo
2023-06-02;FW009479;WAP WL 4000;WAP WL 4000;WAP WL 4000 127V;127V;Lavadoras;84243010;7899831312580;;1;12;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - intensivo
2023-05-25;FW009460;WAP WL 2660 TURBO ULTRA;WAP WL 2660 TURBO ULTRA;WAP WL 2660 TURBO ULTRA 220V;220V;Lavadoras;84243010;7899831312399;;1;9.5;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - ocasional
2023-05-25;FW009459;WAP WL 2660 TURBO ULTRA;WAP WL 2660 TURBO ULTRA;WAP WL 2660 TURBO ULTRA 127V;127V;Lavadoras;84243010;7899831312382;;1;9.5;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - ocasional
2023-07-05;FW009596;WAP WL 2660 TURBO;WAP WL 2660 TURBO;WAP WL 2660 TURBO 220V;220V;Lavadoras;84243010;7899831313099;;1;9.5;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - ocasional
2023-07-05;FW009595;WAP WL 2660 TURBO;WAP WL 2660 TURBO;WAP WL 2660 TURBO 127V;127V;Lavadoras;84243010;7899831313082;;1;9.5;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - ocasional
2023-05-25;FW009454;WAP WL 1820 ULTRA;WAP WL 1820 ULTRA;WAP WL 1820 ULTRA 220V;220V;Lavadoras;84243010;7899831312337;;1;5.5;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - ocasional
2023-05-25;FW009453;WAP WL 1820 ULTRA;WAP WL 1820 ULTRA;WAP WL 1820 ULTRA 127V;127V;Lavadoras;84243010;7899831312320;;1;5.5;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - ocasional
2023-10-27;FW010077;WAP WL 1820 BLACK ULTRA;WAP WL 1820 BLACK ULTRA;WAP WL 1820 BLACK ULTRA 220V;;Lavadoras;84243010;7899831328895;;1;5.5;0;EXCLUSIVO;Estrangeira;DIY;lavadora - ocasional
2023-10-27;FW010076;WAP WL 1820 BLACK ULTRA;WAP WL 1820 BLACK ULTRA;WAP WL 1820 BLACK ULTRA 127V;127V;Lavadoras;84243010;7899831328888;;1;5.5;0;EXCLUSIVO;Estrangeira;DIY;lavadora - ocasional
2023-10-27;FW010075;WAP WL 1820 BLACK;WAP WL 1820 BLACK;WAP WL 1820 BLACK 220V;220V;Lavadoras;84243010;7899831328871;;1;5.5;0;EXCLUSIVO;Estrangeira;DIY;lavadora - ocasional
2023-10-27;FW010074;WAP WL 1820 BLACK;WAP WL 1820 BLACK;WAP WL 1820 BLACK 127V;127V;Lavadoras;84243010;7899831328802;;1;5.5;0;EXCLUSIVO;Estrangeira;DIY;lavadora - ocasional
2023-05-25;FW009451;WAP WL 1820;WAP WL 1820;WAP WL 1820 127V;127V;Lavadoras;84243010;7899831312306;;1;5.5;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - ocasional
